IRIS;P20_POP;P20_POP0014;P20_POP1529;P20_POP3044;P20_POP4559;P20_POP6074;P20_POP75P
352380303;1995.262418;167.0544814;859.4667154;352.5219022;209.177106;193.7113849;213.3308283
352380505;2434.904589;329.0895613;707.9690617;448.1089772;401.1136845;401.5718223;147.0514823
352380202;3831.921134;571.7391074;1239.493684;578.8286212;586.2026562;531.4195248;324.23754
352380601;3634.604432;494.7383366;1245.982652;577.2411633;620.1724051;429.71894;266.7509347
352040000;3378;696.5001284;542.9951244;671.4741163;773.4056879;541.6936612;151.9312818
351390000;5162;1096;722;1008;1240;765;331
350800000;2476;597;423;464;596;300;96
350590000;4628;997;733;940;944;765;249
350220000;698;115;104;117;162;97;103
351440000;1064;266.628053;141.3075796;253.1341114;183.0163651;174.9139922;44.99989869
352380808;3034.530893;404.1249165;1052.434477;659.3656719;435.001392;315.6253319;167.979104
352380110;2442.954561;240.5911347;1025.467771;451.857162;264.0534331;244.5034034;216.481657
352380208;3763.371586;374.8638079;1264.352147;772.5234264;527.8371597;420.8625451;402.9325001
352380107;2120.950016;215.0486689;435.3603401;235.8597777;379.8927063;450.6014545;404.1870689
352380403;387.8933306;86.13760114;159.1169164;75.02024361;35.75751884;20.63578702;11.2252636
352381004;2748.344038;412.4641856;1305.038306;373.9792219;295.9283615;207.5636675;153.3702948
352380204;2278.858009;418.3147034;673.3879887;514.9648921;370.9802997;179.4068796;121.8032458
352380603;3471.843533;335.4310656;1947.472694;490.5620911;374.9979282;239.3516094;84.02814441
352380509;2520.139566;330.4384983;415.5233551;384.9759015;488.1808898;636.9741758;264.0467452
352380304;2983.278139;372.5989703;897.3591257;516.9781856;522.4989175;338.369054;335.4738855
352380205;2056.039832;280.9248998;904.1539451;387.4294998;246.9772059;161.2945066;75.25977479
352380501;2181.672336;393.4011776;503.1011701;420.4927804;416.2082171;284.9124159;163.5565746
353630000;4389;827;810;835;1100;624;193
353340103;3159.855764;615.9511951;632.0599006;654.718324;749.7048024;405.1730861;102.2484562
352381202;1844.302829;269.3967144;349.0907955;256.4296728;289.7039881;425.475822;254.2058367
350240101;5580.009344;1361.688374;941.6473812;1304.824629;1075.71965;636.2500781;259.8792322
353340101;3452.116184;704.021684;499.5218865;761.7191146;696.0045451;587.3325416;203.5164123
352060102;3956.853793;749.3627612;807.5282488;743.945795;883.5797351;543.6596941;228.7775584
350550103;1550.869233;263.3919409;225.9640793;217.1357736;328.7273461;366.0230046;149.6270887
350550102;5266.623388;941.9020571;1137.434849;1098.053578;1038.700837;589.8095339;460.7225328
352380904;2776.815841;445.8621998;602.0725895;673.5015573;562.2836837;333.7618624;159.3339485
352380203;2179.426374;160.3482646;1051.896508;276.2657762;334.7773377;217.9960269;138.1424599
